Ponto no LPS	Ponto no Metashape
1	C1
2	C2
4861	Check01
7361	C3
8327	C4
9383	Check02
13236	C5
13237	C6
15223	Check03
16799	C7
16800	C8
18075	C9
18076	Check04
22245	C10
23377	C34
28444	C35
30841	C36
33313	C11
33314	C12
35430	Check05
39714	C13
39715	C14
43075	Check06
44269	C15
45505	C16
46519	Check07
49501	C18
50592	C17
52875	C20
52876	Check08
54129	C19
57423	Check09
60910	C21
62306	C22
63556	Check10
68027	C23
69203	C24
69204	Check11
70414	C25
70415	C26
72408	Check12
73931	C27
73932	C28
83433	C29
83434	C30
88343	C31
88344	Check13
90888	C32
90889	C33
