   DJI_0979.JPG      8800.000    0
         100001       -5168.746        4284.374       0
         100002       -5441.079        4309.419       0
         100003       -3739.439        4299.904       0
         100004       -3229.917        4203.145       0
         100005        -607.319        4232.487       0
         100006        -763.329        4258.541       0
         100007         892.730        4411.694       0
         100008         904.653        4285.132       0
         100009        1850.284        4476.611       0
         100010        1660.978        4426.761       0
         100011        3021.985        4269.034       0
         100012        3109.918        4615.722       0
         100013        3842.761        4184.155       0
         100014        3479.047        4643.682       0
         100015        3296.148        4451.988       0
         100016        5518.258        4326.094       0
         100017       -4932.361        4154.072       0
         100018       -5302.221        3633.126       0
         100019       -4475.437        3855.398       0
         100020       -4298.341        4001.114       0
         100021       -3622.811        4147.811       0
         100022       -3089.084        3798.730       0
         100023       -1960.673        4013.818       0
         100024        -881.234        3705.719       0
         100025        -897.594        3911.219       0
         100026        -641.243        4025.058       0
         100027         194.852        4124.888       0
         100028         925.933        4090.106       0
         100029        3905.879        4142.263       0
         100030        3858.029        4156.523       0
         100031       -5962.587        3102.980       0
         100032       -5313.405        2997.973       0
         100033       -4348.622        3398.513       0
         100034       -1899.137        3268.287       0
         100035       -1294.324        3110.552       0
         100036       -1287.218        3072.992       0
         100037         -34.237        3394.853       0
         100038         377.024        3178.186       0
         100039        1037.513        3266.763       0
         100040        2684.037        3150.675       0
         100041        4227.655        3389.675       0
         100042        5865.757        3221.391       0
         100043        5794.541        3139.584       0
         100044       -5730.928        2778.210       0
         100045       -2036.624        2707.489       0
         100046       -1960.857        2955.756       0
         100047        -111.775        2949.746       0
         100048        -375.922        2810.081       0
         100049         530.142        2560.906       0
         100050        1048.305        2726.033       0
         100051        2983.558        2876.218       0
         100052        2407.215        2810.976       0
         100053        3498.067        2600.654       0
         100054        4273.576        2848.949       0
         100055        5344.570        2717.864       0
         100056        5994.597        2495.980       0
         100057        5873.313        2601.153       0
         100058       -5241.274        2079.391       0
         100059       -5020.226        2284.406       0
         100060       -4316.936        1817.442       0
         100061       -2922.106        2143.478       0
         100062       -2262.677        2003.255       0
         100063       -1684.030        1948.707       0
         100064        -161.159        1829.399       0
         100066         623.245        2048.994       0
         100067         722.236        2197.714       0
         100068        1491.775        1885.816       0
         100069        2082.127        2229.761       0
         100070        4582.822        2147.920       0
         100071        5309.251        1880.914       0
         100072        5698.337        1787.012       0
         100073       -4260.136        1755.252       0
         100074       -3430.160        1731.825       0
         100075       -3070.134        1353.484       0
         100076       -1665.384        1754.453       0
         100077        -861.502        1368.490       0
         100078          -9.375        1592.019       0
         100079        1546.008        1501.388       0
         100080        1779.112        1737.881       0
         100081        2891.130        1289.077       0
         100082        2835.828        1546.617       0
         100083        3515.230        1709.194       0
         100084        4624.113        1723.486       0
         100085        5428.477        1448.392       0
         100087       -5803.085         831.486       0
         100088       -4396.801         919.521       0
         100089       -3620.827        1056.744       0
         100090       -2450.010         674.375       0
         100091       -2784.070         693.031       0
         100092       -2316.053        1097.687       0
         100093        -924.510         809.174       0
         100094        -128.957         597.150       0
         100095          39.118        1035.402       0
         100096         343.695         957.294       0
         100097         305.262         737.724       0
         100098        1250.186         843.596       0
         100099        3663.448         674.759       0
         100100        3258.674         656.403       0
         100101        4221.288        1031.426       0
         100102        4776.900         595.515       0
         100103        5696.754         652.098       0
         100104       -5777.341         574.841       0
         100105       -5069.508         489.974       0
         100106       -5190.432         495.576       0
         100107       -3289.697         385.781       0
         100108       -3473.390          76.083       0
         100109       -2778.930          48.805       0
         100111       -2313.476         271.879       0
         100112       -1845.478         160.198       0
         100113       -1515.800         471.238       0
         100114       -1404.036          45.621       0
         100115         -89.344         491.359       0
         100116        1577.427           2.078       0
         100117        2531.089          32.842       0
         100118        3705.934         496.221       0
         100119        3795.894         350.130       0
         100120        4524.143         419.423       0
         100121        4869.789         131.269       0
         100122        6007.138         594.597       0
         100123       -5429.924        -517.770       0
         100124       -4767.413        -575.663       0
         100125       -4026.862        -209.042       0
         100126       -3209.834        -500.932       0
         100127       -3067.073        -435.967       0
         100128       -2650.478        -161.083       0
         100129       -1699.744        -498.746       0
         100130       -1117.462        -226.955       0
         100131       -1436.041        -279.943       0
         100132         545.616        -335.828       0
         100133         803.510        -329.290       0
         100134        1596.101        -263.491       0
         100135        1728.137        -115.638       0
         100136        2784.709        -540.180       0
         100138        3574.811        -181.952       0
         100139        5277.878         -96.333       0
         100140        4778.360        -459.435       0
         100141        6219.472        -225.918       0
         100142        6151.523        -169.564       0
         100143       -5205.137       -1141.107       0
         100144       -4511.580       -1081.693       0
         100145       -3645.842        -975.873       0
         100146       -2985.754        -965.229       0
         100147       -1897.614        -677.537       0
         100149          35.781        -929.758       0
         100150         816.700       -1094.800       0
         100151         799.599        -651.152       0
         100152        1930.268        -628.825       0
         100153        2173.102       -1043.103       0
         100154        2894.139        -873.076       0
         100155        2675.781        -998.108       0
         100156        3350.398        -825.650       0
         100158        5027.334        -780.900       0
         100159        5871.958        -745.950       0
         100160        5977.132        -656.596       0
         100161       -5617.410       -1471.686       0
         100162       -5435.805       -1385.136       0
         100163       -2469.600       -1337.287       0
         100164        -809.730       -1422.675       0
         100165       -1048.857       -1403.437       0
         100166        -760.457       -1226.482       0
         100167          64.696       -1571.325       0
         100168        1156.274       -1770.572       0
         100169        1840.989       -1194.837       0
         100170        2515.869       -1362.912       0
         100171        4169.760       -1718.981       0
         100172       -5563.009       -1931.579       0
         100173       -4948.235       -2110.657       0
         100174       -4554.030       -2123.350       0
         100175       -3471.050       -1997.455       0
         100176       -2959.281       -2126.850       0
         100177       -2700.508       -2273.891       0
         100178       -2051.571       -1844.080       0
         100179       -1603.705       -2228.994       0
         100180         678.445       -2177.680       0
         100181        1144.701       -1853.046       0
         100182        1805.544       -2259.130       0
         100183        2039.227       -2337.080       0
         100184        2422.391       -2046.280       0
         100185        3798.655       -2249.172       0
         100186        4501.875       -2270.933       0
         100187        4778.999       -2252.222       0
         100188        6090.981       -2051.414       0
         100189       -5789.865       -2517.675       0
         100190       -5185.371       -2883.935       0
         100191       -4684.248       -2954.006       0
         100192       -1710.906       -2714.133       0
         100193       -1264.228       -2621.475       0
         100194        -547.110       -2684.103       0
         100195          36.388       -2439.282       0
         100196         477.642       -2502.877       0
         100197        1371.378       -2882.819       0
         100198        2336.471       -2762.612       0
         100199        2684.028       -2922.280       0
         100200        3477.078       -2449.876       0
         100201        4615.648       -2419.178       0
         100202        4564.260       -2562.140       0
         100203        4926.088       -2647.887       0
         100204        5412.150       -2726.740       0
         100205        5877.752       -2674.320       0
         100206       -4383.059       -3024.508       0
         100207       -4030.623       -3133.368       0
         100208       -3033.707       -2996.004       0
         100209       -1802.927       -2992.047       0
         100210        -817.928       -3186.773       0
         100211        -807.397       -3019.978       0
         100212        -223.111       -3010.606       0
         100213        -372.442       -3033.729       0
         100214          50.169       -2994.140       0
         100215         823.374       -3105.601       0
         100216        1804.466       -3250.242       0
         100217        1768.463       -3283.323       0
         100218        2763.054       -3061.342       0
         100220        5047.981       -3271.026       0
         100221        5192.608       -3396.290       0
