# CoordinateSystem: PROJCS["SIRGAS 2000 / UTM zone 22S",GEOGCS["SIRGAS 2000",DATUM["Sistema de Referencia Geocentrico para las AmericaS 2000",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6674"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4674"]],PROJECTION["Transverse_Mercator",AUTHORITY["EPSG","9807"]],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",-51],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",10000000],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","31982"]]
#Label	X/Easting	Y/Northing	Z/Altitude	Error_(m)	X_error	Y_error	Z_error
C1	677326.367000	7183311.561000	918.610800	0.019008	0.012742	0.002852	-0.013813
C2	677232.615000	7183347.923000	907.515260	0.017960	-0.010238	-0.013297	0.006397
C3	677348.363000	7183404.373000	910.354550	0.041857	-0.039773	0.010557	-0.007658
C4	677277.037000	7183448.112000	907.535640	0.027505	0.006190	-0.025133	0.009303
C5	677315.140000	7183513.858000	908.344700	0.033901	0.030073	0.012447	0.009483
C6	677388.469000	7183489.352000	913.612550	0.037774	-0.009812	0.023556	0.027852
C7	677320.593000	7183569.561000	907.719060	0.041534	0.007026	-0.007268	-0.040285
C8	677392.859000	7183541.191000	913.166440	0.020009	-0.010898	0.015406	-0.006652
C9	677336.572000	7183609.688000	904.742100	0.069115	-0.021358	-0.058791	0.029398
C10	677433.145000	7183591.339000	912.720030	0.030527	0.024357	0.018323	0.001708
C11	677508.114000	7183756.669000	914.324300	0.143712	0.077570	0.093591	-0.076660
C12	677413.250000	7183781.707000	913.673100	0.193197	-0.096665	-0.164010	-0.032887
C13	677524.487000	7183823.253000	912.853400	0.069619	0.050405	0.023121	-0.042090
C14	677478.561000	7183839.697000	912.882800	0.047482	0.025285	0.014495	0.037484
C15	677582.844000	7183862.566000	911.776800	0.013192	0.007641	-0.010644	-0.001534
C17	677607.069000	7183923.885000	909.236300	0.014667	0.001698	0.013202	0.006160
C16	677471.604000	7183917.108000	911.883500	0.061614	-0.038303	-0.047977	0.005235
C18	677507.994000	7183971.269000	907.726900	0.017665	0.015470	-0.006759	-0.005202
C19	677521.674000	7184036.352000	905.395200	0.068252	0.035637	-0.058209	0.000202
C20	677640.215000	7183968.355000	907.218600	0.033573	-0.025831	-0.009936	0.019005
C21	677557.117000	7184104.994000	907.078740	0.056074	0.038049	0.020803	0.035551
C22	677664.590000	7184086.161000	909.779850	0.046748	-0.026102	0.035826	-0.014851
C23	677577.121000	7184173.381000	907.501650	0.028442	0.020095	-0.002773	-0.019936
C24	677675.328000	7184140.093000	910.687560	0.046337	-0.021383	-0.027785	-0.030297
C25	677610.762000	7184216.398000	910.249940	0.028305	0.020599	0.003893	0.019019
C26	677702.811000	7184186.720000	913.048160	0.050238	-0.031708	0.002268	0.038902
C27	677622.833000	7184268.056000	913.847530	0.040712	0.032971	-0.016339	-0.017418
C28	677728.079000	7184226.245000	913.805240	0.040511	-0.022561	0.008326	0.032601
C29	677675.195000	7184401.404000	914.092350	0.040963	0.040256	0.004530	0.006079
C30	677789.476000	7184349.173000	914.447450	0.068948	-0.057113	0.037985	-0.007001
C31	677797.700000	7184411.175000	924.740000	0.101729	-0.032563	0.077141	0.057773
C32	677720.252000	7184460.933000	919.849000	0.030530	-0.014395	-0.019368	0.018702
C33	677810.417000	7184423.208000	924.899540	0.136987	0.084337	-0.069115	-0.082921
Check01	677301.987000	7183375.209000	907.430200	0.030459	-0.023647	-0.016106	0.010448
Check02	677324.640000	7183452.273000	907.455700	0.061859	0.032193	-0.049132	0.019394
Check03	677368.727000	7183536.108000	912.755800	0.099635	-0.055114	0.069889	-0.044776
Check04	677386.582000	7183597.524000	904.945000	0.101891	-0.031475	-0.091936	0.030642
Check05	677495.316000	7183794.561000	913.604000	0.044419	-0.003002	0.042552	0.012386
Check06	677537.658000	7183865.843000	912.040470	0.174161	-0.022422	-0.000332	0.172711
Check07	677547.541000	7183910.337000	910.238900	0.062958	0.057231	0.002356	0.026130
Check08	677561.289000	7183974.761000	907.666560	0.083525	-0.025465	-0.030035	0.073661
Check09	677597.438000	7184045.504000	906.061400	0.108483	0.024469	0.103762	-0.020085
Check10	677610.779000	7184122.534000	908.148800	0.037338	-0.011998	-0.031743	-0.015575
Check11	677660.787000	7184173.432000	911.552250	0.058893	-0.014580	-0.056358	-0.008921
Check12	677676.289000	7184226.952000	913.555540	0.032756	0.002266	0.018462	0.026962
Check13	677737.088000	7184426.757000	916.325800	0.054951	0.008646	0.043247	0.032780
C34	677413.770000	7183654.724000	904.239140	0.080739	-0.029788	0.074992	0.002769
C35	677431.171000	7183699.140000	903.995400	0.017996	-0.013997	0.004769	-0.010256
C36	677449.157000	7183742.009000	904.886050	0.042066	0.017818	0.036453	0.011103
#Total error				0.064327	0.036144	0.044297	0.029484
